Litter_ID,Case_ID,Strain,Litter_ID_better,DOB,Sex,Age_days,Body_Weight_g,Number_Calls_3min,Duration_Calls_Mean_sec,Duration_Calls_Mean_msec,Frequency_Call_Day_Mean_Hz,Frequency_Call_Day_Mean_Khz,Peak_Amplitude_Calls_dB
1,D2.1,DBA/2J,DBA/2J_1,20/08/2012,F,7,4.3,245,0.0548,54.8,64755,64.75,-13.33
1,D2.2,DBA/2J,DBA/2J_1,20/08/2012,F,7,3.6,5,0.0231,23.1,62820,62.82,-26.48
1,D2.3,DBA/2J,DBA/2J_1,20/08/2012,M,7,3.4,1,0.0271,27.1,61000,61,-27.15
2,D2.4,DBA/2J,DBA/2J_2,21/08/2012,M,7,5.9,335,0.0292,29.2,66815,66.81,-18.37
2,D2.5,DBA/2J,DBA/2J_2,21/08/2012,F,7,5.6,21,0.0426,42.6,62948,62.95,-21.1
2,D2.6,DBA/2J,DBA/2J_2,21/08/2012,F,7,5.4,235,0.0329,32.9,67723,67.72,-17.09
2,D2.7,DBA/2J,DBA/2J_2,21/08/2012,M,7,5.6,320,0.0336,33.6,67721,67.72,-15.77
3,D2.8,DBA/2J,DBA/2J_3,06/09/2012,F,7,4.4,66,0.0412,41.2,67855,67.85,-15.95
3,D2.9,DBA/2J,DBA/2J_3,06/09/2012,M,7,4.6,71,0.0458,45.8,65158,65.16,-18.62
3,D2.10,DBA/2J,DBA/2J_3,06/09/2012,M,7,4.6,117,0.0475,47.5,66836,66.84,-12.3
4,D2.11,DBA/2J,DBA/2J_4,06/09/2012,F,7,3,32,0.0441,44.1,65588,65.59,-18.68
4,D2.12,DBA/2J,DBA/2J_4,06/09/2012,F,7,2.8,278,0.0342,34.2,69653,69.65,-21.36
4,D2.13,DBA/2J,DBA/2J_4,06/09/2012,M,7,2.7,198,0.0488,48.8,66649,66.65,-11.97
4,D2.14,DBA/2J,DBA/2J_4,06/09/2012,M,7,2.5,23,0.0326,32.6,66126,66.13,-26.81
4,D2.15,DBA/2J,DBA/2J_4,06/09/2012,F,7,3.1,256,0.0317,31.7,68447,68.45,-20.91
5,D2.16,DBA/2J,DBA/2J_5,14/09/2012,M,7,4.6,77,0.0374,37.4,65836,65.84,-11.7
5,D2.17,DBA/2J,DBA/2J_5,14/09/2012,M,7,4.4,54,0.0244,24.4,66907,66.91,-14.56
5,D2.18,DBA/2J,DBA/2J_5,14/09/2012,F,7,4.1,114,0.0367,36.7,64359,64.36,-13.58
5,D2.19,DBA/2J,DBA/2J_5,14/09/2012,M,7,4.2,83,0.0363,36.3,66106,66.11,-19.73
5,D2.20,DBA/2J,DBA/2J_5,14/09/2012,F,7,3.6,5,0.0497,49.7,67340,67.34,-15.83
6,D2.21,DBA/2J,DBA/2J_6,20/03/2013,M,7,4.1,339,0.0122,12.2,65133,65.13,-55.73
6,D2.22,DBA/2J,DBA/2J_6,20/03/2013,F,7,3.1,229,0.0145,14.5,21234,21.23,-46.59
6,D2.23,DBA/2J,DBA/2J_6,20/03/2013,F,7,3.9,443,0.0414,41.44,62409,62.41,-25.62
