Litter_ID,Case_ID,Strain,Litter_ID_better,DOB,Sex,Age_days,Body_Weight_g,Number_Calls_3min,Duration_Calls_Mean_sec,Duration_Calls_Mean_msec,Frequency_Call_Day_Mean_Hz,Frequency_Call_Day_Mean_Khz,Peak_Amplitude_Calls_dB
1,D2.1,DBA/2J,DBA/2J_1,20/08/2012,F,7,4.3,245,0.0548,54.8,64755,64.75,-13.33
1,D2.1,DBA/2J,DBA/2J_1,20/08/2012,F,8,4.7,188,0.0461,46.1,65044,65.04,-15.95
1,D2.1,DBA/2J,DBA/2J_1,20/08/2012,F,9,5.5,35,0.0517,51.7,63977,63.98,-12.11
1,D2.1,DBA/2J,DBA/2J_1,20/08/2012,F,Mean,4.833333333,156,0.050866667,50.86666667,64592,64.59,-13.79666667
1,D2.2,DBA/2J,DBA/2J_1,20/08/2012,F,7,3.6,5,0.0231,23.1,62820,62.82,-26.48
1,D2.2,DBA/2J,DBA/2J_1,20/08/2012,F,8,4.1,289,0.0447,44.7,67696,67.7,-12.99
1,D2.2,DBA/2J,DBA/2J_1,20/08/2012,F,9,4.6,159,0.0317,31.7,64411,64.41,-15.92
1,D2.2,DBA/2J,DBA/2J_1,20/08/2012,F,Mean,4.1,151,0.033166667,33.16666667,64975.66667,64.97666667,-18.46333333
1,D2.3,DBA/2J,DBA/2J_1,20/08/2012,M,7,3.4,1,0.0271,27.1,61000,61,-27.15
1,D2.3,DBA/2J,DBA/2J_1,20/08/2012,M,8,4.1,11,0.0225,22.5,66009,66.01,-30.98
1,D2.3,DBA/2J,DBA/2J_1,20/08/2012,M,9,4.6,9,0.025,25,63433,63.43,-21.64
1,D2.3,DBA/2J,DBA/2J_1,20/08/2012,M,Mean,4.033333333,7,0.024866667,24.86666667,63480.66667,63.48,-26.59
2,D2.4,DBA/2J,DBA/2J_2,21/08/2012,M,7,5.9,335,0.0292,29.2,66815,66.81,-18.37
2,D2.4,DBA/2J,DBA/2J_2,21/08/2012,M,8,3.8,58,0.0409,40.9,65495,65.49,-18.71
2,D2.4,DBA/2J,DBA/2J_2,21/08/2012,M,9,4,27,0.0308,30.8,64889,64.89,-22.09
2,D2.4,DBA/2J,DBA/2J_2,21/08/2012,M,Mean,4.566666667,140,0.033633333,33.63333333,65733,65.73,-19.72333333
2,D2.5,DBA/2J,DBA/2J_2,21/08/2012,F,7,5.6,21,0.0426,42.6,62948,62.95,-21.1
2,D2.5,DBA/2J,DBA/2J_2,21/08/2012,F,8,6.1,260,0.0315,31.5,64394,64.39,-19.71
2,D2.5,DBA/2J,DBA/2J_2,21/08/2012,F,9,6.3,193,0.0339,33.9,71698,71.7,-13.56
2,D2.5,DBA/2J,DBA/2J_2,21/08/2012,F,Mean,6,158,0.036,36,66346.66667,66.34666667,-18.12333333
2,D2.6,DBA/2J,DBA/2J_2,21/08/2012,F,7,5.4,235,0.0329,32.9,67723,67.72,-17.09
2,D2.6,DBA/2J,DBA/2J_2,21/08/2012,F,8,6,338,0.0297,29.7,60656,60.66,-23.49
2,D2.6,DBA/2J,DBA/2J_2,21/08/2012,F,9,6.2,74,0.0331,33.1,66492,66.49,-17.58
2,D2.6,DBA/2J,DBA/2J_2,21/08/2012,F,Mean,5.866666667,215.6666667,0.0319,31.9,64957,64.95666667,-19.38666667
2,D2.7,DBA/2J,DBA/2J_2,21/08/2012,M,7,5.6,320,0.0336,33.6,67721,67.72,-15.77
2,D2.7,DBA/2J,DBA/2J_2,21/08/2012,M,8,5.8,47,0.0373,37.3,63479,63.48,-15.7
2,D2.7,DBA/2J,DBA/2J_2,21/08/2012,M,9,6.1,18,0.0202,20.2,60739,60.74,-19.68
2,D2.7,DBA/2J,DBA/2J_2,21/08/2012,M,Mean,5.833333333,128.3333333,0.030366667,30.36666667,63979.66667,63.98,-17.05
3,D2.8,DBA/2J,DBA/2J_3,06/09/2012,F,7,4.4,66,0.0412,41.2,67855,67.85,-15.95
3,D2.8,DBA/2J,DBA/2J_3,06/09/2012,F,8,6,7,0.0071,7.05,37600,37.6,-33.11
3,D2.8,DBA/2J,DBA/2J_3,06/09/2012,F,9,6.3,106,0.0229,22.9,73193,73.19,-21.97
3,D2.8,DBA/2J,DBA/2J_3,06/09/2012,F,Mean,5.566666667,59.66666667,0.023733333,23.71666667,59549.33333,59.54666667,-23.67666667
3,D2.9,DBA/2J,DBA/2J_3,06/09/2012,M,7,4.6,71,0.0458,45.8,65158,65.16,-18.62
3,D2.9,DBA/2J,DBA/2J_3,06/09/2012,M,8,4.8,110,0.0282,28.2,61093,61.09,-24.23
3,D2.9,DBA/2J,DBA/2J_3,06/09/2012,M,9,5.3,182,0.0246,24.6,60435,60.44,-26.92
3,D2.9,DBA/2J,DBA/2J_3,06/09/2012,M,Mean,4.9,121,0.032866667,32.86666667,62228.66667,62.23,-23.25666667
3,D2.10,DBA/2J,DBA/2J_3,06/09/2012,M,7,4.6,117,0.0475,47.5,66836,66.84,-12.3
3,D2.10,DBA/2J,DBA/2J_3,06/09/2012,M,8,5.2,25,0.0281,28.1,60828,60.83,-27.02
3,D2.10,DBA/2J,DBA/2J_3,06/09/2012,M,9,5.5,220,0.0328,32.8,58672,58.67,-17.36
3,D2.10,DBA/2J,DBA/2J_3,06/09/2012,M,Mean,5.1,120.6666667,0.036133333,36.13333333,62112,62.11333333,-18.89333333
4,D2.11,DBA/2J,DBA/2J_4,06/09/2012,F,7,3,32,0.0441,44.1,65588,65.59,-18.68
